"","Bac_OTU","Domain","Phylum","Class","Order","Family","Genus","Bac_Genus_Mean"
"8","OTU127","Bacteria","Bacillota","uncl_Bacillota","uncl_Bacillota","uncl_Bacillota","uncl_Bacillota",0.492270424096761
"2","OTU104","Bacteria","Bacillota","Clostridia","uncl_Clostridia","uncl_Clostridia","uncl_Clostridia",0.452307861708651
"122","OTU73","Bacteria","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Oscillibacter",0.435917832162301
"61","OTU3135","Bacteria","Pseudomonadota","Betaproteobacteria","Burkholderiales","Sutterellaceae","uncl_Sutterellaceae",0.394183374688099
"28","OTU2121","Bacteria","Pseudomonadota","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio",0.286793876077455
"13","OTU156","Bacteria","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Laedolimicola",0.273915995719608
"112","OTU60","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Odoribacteraceae","Odoribacter",0.271827690796714
"126","OTU81","Bacteria","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Acetatifactor",0.271796049813033
"1","OTU102","Bacteria","Bacillota","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Dubosiella",0.264961597338107
"134","OTU93","Bacteria","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Anaerotignum",0.255216174364602
"83","OTU4273","Bacteria","Actinomycetota","Coriobacteriia","Eggerthellales","Eggerthellaceae","uncl_Eggerthellaceae",0.251735666159778
"137","OTU99","Bacteria","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Schaedlerella",0.208007826713723
"16","OTU177","Bacteria","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Roseburia",0.155736921674011
"67","OTU34","Bacteria","Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus",0.13637263966172
"97","OTU47","Bacteria","Campylobacterota","Campylobacteria","Campylobacterales","Helicobacteraceae","Helicobacter",0.0981503313760221
"52","OTU2814","Bacteria","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Sporofaciens",0.0903666493906896
"19","OTU184","Bacteria","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Ruminococcus",0.0854306559365763
"33","OTU224","Bacteria","Candidatus Saccharibacteria","uncl_Candidatus Saccharibacteria","uncl_Candidatus Saccharibacteria","uncl_Candidatus Saccharibacteria","Saccharibacteria_genera_incertae_sedis",0.0647058116260365
"18","OTU180","Bacteria","Bacillota","Erysipelotrichia","uncl_Erysipelotrichia","uncl_Erysipelotrichia","uncl_Erysipelotrichia",0.0618581230948173
"20","OTU188","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodospirillales","uncl_Rhodospirillales","uncl_Rhodospirillales",0.0509736247088238
"38","OTU246","Bacteria","Bacillota","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Longibaculum",0.0429684558377299
"68","OTU3412","Bacteria","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Acutalibacter",0.0419875853436432
"26","OTU207","Bacteria","Bacillota","Clostridia","Eubacteriales","Eubacteriales_incertae_sedis_XIII","Ihubacter",0.0409434328821962
"49","OTU277","Bacteria","Pseudomonadota","uncl_Pseudomonadota","uncl_Pseudomonadota","uncl_Pseudomonadota","uncl_Pseudomonadota",0.0321472394190969
"25","OTU2053","Bacteria","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Neglecta",0.0284452443285119
"22","OTU195","Bacteria","Mycoplasmatota","Mollicutes","Anaeroplasmatales","Anaeroplasmataceae","Anaeroplasma",0.022971354151835
"44","OTU257","Bacteria","Bacillota","Erysipelotrichia","Erysipelotrichales","uncl_Erysipelotrichales","uncl_Erysipelotrichales",0.0219272016903879
"76","OTU381","Bacteria","Pseudomonadota","Betaproteobacteria","Burkholderiales","Sutterellaceae","Turicimonas",0.0208197672615804
"32","OTU223","Bacteria","Pseudomonadota","Alphaproteobacteria","uncl_Alphaproteobacteria","uncl_Alphaproteobacteria","uncl_Alphaproteobacteria",0.0175923869261987
"47","OTU27","Bacteria","Bacillota","Bacilli","Caryophanales","Bacillales_Incertae Sedis XI","Gemella",0.0167064393831527
"63","OTU315","Bacteria","Actinomycetota","Coriobacteriia","Eggerthellales","uncl_Eggerthellales","uncl_Eggerthellales",0.0157888508564265
"136","OTU98","Bacteria","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus",0.0149978262644212
"42","OTU255","Bacteria","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Fumia",0.0149345442970607
"129","OTU85","Bacteria","Bacillota","Bacilli","Caryophanales","Staphylococcaceae","Staphylococcus",0.0106313705165517
"71","OTU347","Bacteria","Bacillota","Clostridia","Eubacteriales","Christensenellaceae","uncl_Christensenellaceae",0.00920752625094211
"54","OTU292","Bacteria","Bacillota","Clostridia","Eubacteriales","Eubacteriales_incertae_sedis_XIII","uncl_Eubacteriales_incertae_sedis_XIII",0.00841650165893677
"9","OTU13","Bacteria","Bacillota","Clostridia","Eubacteriales","Clostridiaceae 1","uncl_Clostridiaceae 1",0.00787860493637315
"45","OTU260","Bacteria","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Ruthenibacterium",0.00620163280132183
"81","OTU418","Bacteria","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Anaerotruncus",0.0054106082093165
"133","OTU894","Bacteria","Cyanobacteriota","Cyanophyceae","Nostocales","uncl_Nostocales","uncl_Nostocales",0.00452466066627052
"6","OTU118","Bacteria","Pseudomonadota","Deltaproteobacteria","Desulfovibrionales","uncl_Desulfovibrionales","uncl_Desulfovibrionales",0.00341722623746305
"109","OTU590","Bacteria","Bacillota","Bacilli","Caryophanales","Caryophanaceae","uncl_Caryophanaceae",0.0032906623027422
"90","OTU448","Bacteria","Bacillota","Clostridia","Eubacteriales","Christensenellaceae","Guopingia",0.002816047547539
"111","OTU595","Bacteria","Bacillota","Clostridia","Eubacteriales","Christensenellaceae","Christensenella",0.00215158689025451
"23","OTU2011","Bacteria","Bacillota","Bacilli","Caryophanales","Paenibacillaceae","Paenibacillus",0.00183517705345238
"127","OTU824","Bacteria","Bacillota","Bacilli","Caryophanales","Paenibacillaceae","uncl_Paenibacillaceae",0.00170861311873153
"99","OTU472","Bacteria","Actinomycetota","Actinobacteria","Mycobacteriales","Corynebacteriaceae","Corynebacterium",0.00151876721665024
"50","OTU2792","Bacteria","Cyanobacteriota","Cyanophyceae","Nostocales","Scytonemataceae","Iphinoe",0.00145548524928982
"46","OTU2669","Bacteria","Cyanobacteriota","Cyanophyceae","Oculatellales","Oculatellaceae","Siamcapillus",0.00132892131456896
"80","OTU412","Bacteria","Actinomycetota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium",0.00110743442880747
"120","OTU717","Bacteria","Bacillota","Clostridia","Eubacteriales","Eubacteriaceae","Anaerofustis",0.00110743442880747
"10","OTU130","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",0.000822665575685549
"77","OTU3888","Bacteria","Bacillota","Bacilli","Caryophanales","Bacillaceae","Aeribacillus",0.000759383608325122
"100","OTU4727","Bacteria","Actinomycetota","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Saccharopolyspora",0.000664460657284482
"101","OTU4813","Bacteria","Bacteroidota","Bacteroidia","uncl_Bacteroidia","uncl_Bacteroidia","uncl_Bacteroidia",0.000664460657284482
"15","OTU1605","Bacteria","Bacillota","Bacilli","Caryophanales","Bacillaceae","Shouchella",0.000601178689924055
"5","OTU1155","Bacteria","Bacillota","Bacilli","Caryophanales","Paenibacillaceae","Thermobacillus",0.000569537706243842
"96","OTU465","Bacteria","Actinomycetota","Actinobacteria","Micrococcales","Cellulomonadaceae","Cellulomonas",0.000537896722563628
"88","OTU4446","Bacteria","Acidobacteriota","Acidobacteria_Gp3","uncl_Acidobacteria_Gp3","uncl_Acidobacteria_Gp3","Gp3",0.000506255738883415
"62","OTU3138","Bacteria","Actinomycetota","Actinobacteria","Micrococcales","uncl_Micrococcales","uncl_Micrococcales",0.000442973771522988
"57","OTU3010","Bacteria","Actinomycetota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces",0.000379691804162561
"92","OTU4523","Bacteria","Actinomycetota","Actinobacteria","Micrococcales","Microbacteriaceae","Leucobacter",0.000379691804162561
"56","OTU2998","Bacteria","Bacillota","Bacilli","Caryophanales","Paenibacillaceae","Brevibacillus",0.000348050820482348
"84","OTU432","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Paracoccaceae","Paracoccus",0.000348050820482348
"14","OTU1590","Bacteria","Bacillota","Bacilli","Caryophanales","Bacillaceae","Caldibacillus",0.000316409836802134
"39","OTU2502","Bacteria","Actinomycetota","Actinobacteria","Micrococcales","Promicromonosporaceae","Promicromonospora",0.000316409836802134
"98","OTU4711","Bacteria","Bacillota","Bacilli","Caryophanales","Bacillaceae","uncl_Bacillaceae",0.000316409836802134
"110","OTU593","Bacteria","Bacillota","Bacilli","Lactobacillales","Leuconostocaceae","Weissella",0.000316409836802134
"115","OTU643","Bacteria","Actinomycetota","Actinobacteria","Mycobacteriales","Mycobacteriaceae","Mycobacterium",0.000316409836802134
"131","OTU87","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","uncl_Enterobacteriaceae",0.000316409836802134
"89","OTU445","Bacteria","Actinomycetota","Actinobacteria","Micrococcales","Micrococcaceae","uncl_Micrococcaceae",0.000284768853121921
"91","OTU4509","Bacteria","Acidobacteriota","Acidobacteria_Gp2","uncl_Acidobacteria_Gp2","uncl_Acidobacteria_Gp2","Gp2",0.000284768853121921
"104","OTU515","Bacteria","Pseudomonadota","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Ralstonia",0.000284768853121921
"128","OTU83","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia/Shigella",0.000253127869441708
"24","OTU2032","Bacteria","Bacillota","Bacilli","Caryophanales","Staphylococcaceae","Mammaliicoccus",0.000221486885761494
"70","OTU3453","Bacteria","Actinomycetota","Actinobacteria","Micromonosporales","Micromonosporaceae","uncl_Micromonosporaceae",0.000221486885761494
"66","OTU3274","Bacteria","Actinomycetota","Actinobacteria","Streptosporangiales","Nocardiopsaceae","Nocardiopsis",0.000189845902081281
"35","OTU229","Bacteria","Bacillota","Bacilli","Caryophanales","Bacillaceae","Bacillus",0.000158204918401067
"75","OTU3728","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Devosiaceae","Devosia",0.000158204918401067
"55","OTU2926","Bacteria","Actinomycetota","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Saccharomonospora",0.000126563934720854
"73","OTU356","Bacteria","Bacillota","Bacilli","Caryophanales","Bacillaceae","Priestia",0.000126563934720854
"117","OTU672","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Rhizobiaceae","Rhizobium",0.000126563934720854
"58","OTU303","Bacteria","Pseudomonadota","Betaproteobacteria","Burkholderiales","Comamonadaceae","Delftia",9.49229510406403e-05
"65","OTU3221","Bacteria","Actinomycetota","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","uncl_Pseudonocardiaceae",9.49229510406403e-05
"74","OTU3565","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","uncl_Hyphomicrobiales","uncl_Hyphomicrobiales",9.49229510406403e-05
"82","OTU423","Bacteria","Bacillota","Clostridia","Eubacteriales","Peptostreptococcaceae","Clostridioides",9.49229510406403e-05
"93","OTU4613","Bacteria","Actinomycetota","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Raineyella",9.49229510406403e-05
"125","OTU800","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Brucellaceae","Brucella",9.49229510406403e-05
"30","OTU2194","Bacteria","Pseudomonadota","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Pseudoxanthomonas",6.32819673604269e-05
"43","OTU256","Bacteria","Bacillota","Bacilli","Caryophanales","Listeriaceae","Listeria",6.32819673604269e-05
"69","OTU3416","Bacteria","Actinomycetota","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Prauserella",6.32819673604269e-05
"86","OTU4406","Bacteria","Bacillota","Bacilli","Caryophanales","Bacillaceae","Geobacillus",6.32819673604269e-05
"87","OTU4429","Bacteria","Bacillota","Bacilli","Caryophanales","Paenibacillaceae","Cohnella",6.32819673604269e-05
"95","OTU4641","Bacteria","Actinomycetota","Actinobacteria","Micrococcales","Microbacteriaceae","Gryllotalpicola",6.32819673604269e-05
"36","OTU2295","Bacteria","Bacillota","Bacilli","Caryophanales","Caryophanaceae","Ureibacillus",3.16409836802134e-05
"40","OTU2507","Bacteria","Actinomycetota","Actinobacteria","Propionibacteriales","Nocardioidaceae","Aeromicrobium",3.16409836802134e-05
"41","OTU2548","Bacteria","Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus",3.16409836802134e-05
"48","OTU276","Bacteria","Actinomycetota","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Cutibacterium",3.16409836802134e-05
"60","OTU310","Bacteria","Actinomycetota","Actinobacteria","Micrococcales","Dermabacteraceae","Brachybacterium",3.16409836802134e-05
"78","OTU3916","Bacteria","Bacillota","Bacilli","Lactobacillales","uncl_Lactobacillales","uncl_Lactobacillales",3.16409836802134e-05
"94","OTU4625","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","uncl_Bacteroidaceae",3.16409836802134e-05
"102","OTU4836","Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","uncl_Lactobacillaceae",3.16409836802134e-05
"105","OTU530","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Phyllobacteriaceae","uncl_Phyllobacteriaceae",3.16409836802134e-05
"121","OTU726","Bacteria","Pseudomonadota","Betaproteobacteria","Neisseriales","Neisseriaceae","Neisseria",3.16409836802134e-05
