"","Bac_OTU","Domain","Phylum","Class","Order","Family","Bac_Family_Mean"
"46","OTU41","Bacteria","Pseudomonadota","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae",0.880252165983538
"69","OTU65","Bacteria","Bacteroidota","uncl_Bacteroidota","uncl_Bacteroidota","uncl_Bacteroidota",0.838612631460377
"6","OTU148","Bacteria","Bacillota","Clostridia","Eubacteriales","uncl_Eubacteriales",0.51884885038814
"74","OTU74","Bacteria","Bacillota","Erysipelotrichia","Erysipelotrichales","Coprobacillaceae",0.510812040533366
"61","OTU57","Bacteria","Actinomycetota","Coriobacteriia","Coriobacteriales","Atopobiaceae",0.495561086399503
"4","OTU127","Bacteria","Bacillota","uncl_Bacillota","uncl_Bacillota","uncl_Bacillota",0.492270424096761
"1","OTU104","Bacteria","Bacillota","Clostridia","uncl_Clostridia","uncl_Clostridia",0.452307861708651
"33","OTU3135","Bacteria","Pseudomonadota","Betaproteobacteria","Burkholderiales","Sutterellaceae",0.415003141949679
"65","OTU60","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Odoribacteraceae",0.271827690796714
"38","OTU34","Bacteria","Bacillota","Bacilli","Lactobacillales","Streptococcaceae",0.1364042806454
"54","OTU47","Bacteria","Campylobacterota","Campylobacteria","Campylobacterales","Helicobacteraceae",0.0981503313760221
"17","OTU224","Bacteria","Candidatus Saccharibacteria","uncl_Candidatus Saccharibacteria","uncl_Candidatus Saccharibacteria","uncl_Candidatus Saccharibacteria",0.0647058116260365
"8","OTU180","Bacteria","Bacillota","Erysipelotrichia","uncl_Erysipelotrichia","uncl_Erysipelotrichia",0.0618581230948173
"9","OTU188","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodospirillales","uncl_Rhodospirillales",0.0509736247088238
"11","OTU207","Bacteria","Bacillota","Clostridia","Eubacteriales","Eubacteriales_incertae_sedis_XIII",0.049359934541133
